Legacy_OrganizationName,Legacy_OrganizationID,Legacy_ProgramName,Legacy_ProgramID,Clarity_AgencyID,Clarity_AgencyName,Clarity_ProgramID,Clarity_ProgramName
"Family and Community Services, Inc.",1222,Portage - Family and Community Services - Ravenna - ESG-CV HP,2230,163,"Family and Community Services, Inc.",847,Portage - Family and Community Services - Ravenna - ESG-CV HP
"Family and Community Services, Inc.",1222,Portage - Family and Community Services - Ravenna - ESG-CV RRH,2231,163,"Family and Community Services, Inc.",848,Portage - Family and Community Services - Ravenna - ESG-CV RRH
"Family and Community Services, Inc.",1222,Mahoning - Family and Community Services - Veteran's Haven - GPD - PH Housing Only,2382,163,"Family and Community Services, Inc.",961,Mahoning - Family and Community Services - Veteran's Haven - GPD - PH Housing Only
"Family and Community Services, Inc.",1222,Mahoning - Family and Community Services - Veteran's Haven - GPD - SH,2445,163,"Family and Community Services, Inc.",1001,Mahoning - Family and Community Services - Veteran's Haven - GPD - SH
"Family and Community Services, Inc.",1222,Portage - Family and Community Services - Portage Area Transitional Housing 2 - TH,531,163,"Family and Community Services, Inc.",117,Portage - Family and Community Services - Portage Area Transitional Housing 2 - TH
"Family and Community Services, Inc.",1222,Portage - Family and Community Services - Freedom House - VA GPD Project - TH - VET,550,163,"Family and Community Services, Inc.",123,Portage - Family and Community Services - Freedom House - VA GPD Project - TH - VET
"Family and Community Services, Inc.",1222,Portage - Family and Community Services - Ravenna Permanent Supportive - White House - VET - PSH,753,163,"Family and Community Services, Inc.",160,Portage - Family and Community Services - Ravenna Permanent Supportive - White House - VET - PSH
"Family and Community Services, Inc.",1222,Portage - Family and Community Services - ISPP - PSH,779,163,"Family and Community Services, Inc.",174,Portage - Family and Community Services - ISPP - PSH
"Family and Community Services, Inc.",1222,Portage - Family and Community Services - Ravenna - HCRP RRH,874,163,"Family and Community Services, Inc.",189,Portage - Family and Community Services - Ravenna - HCRP RRH
"Family and Community Services, Inc.",1222,Portage - Family and Community Services - Portage Area Transitional Housing 3 - TH,91,163,"Family and Community Services, Inc.",21,Portage - Family and Community Services - Portage Area Transitional Housing 3 - TH
"Family and Community Services, Inc.",1222,Portage - Family and Community Services - Ravenna - HCRP HP,941,163,"Family and Community Services, Inc.",234,Portage - Family and Community Services - Ravenna - HCRP HP
YWCA of Elyria,123,Lorain - YWCA of Elyria - Women's Campus Project - TH,124,36,YWCA of Elyria,33,Lorain - YWCA of Elyria - Women's Campus Project - TH
YWCA of Elyria,123,Lorain - YWCA of Elyria - Women In Secure Housing - PSH,257,36,YWCA of Elyria,81,Lorain - YWCA of Elyria - Women In Secure Housing - PSH
Concerned Citizens Against Violence Against Women,1235,Marion - Concerned Citizens Against Violence Against Women - Turning Point - TH - DV,1236,165,Concerned Citizens Against Violence Against Women,368,Marion - Concerned Citizens Against Violence Against Women - Turning Point - TH - DV
Concerned Citizens Against Violence Against Women,1235,Marion - Concerned Citizens Against Violence Against Women - Turning Point - ES - DV,1237,165,Concerned Citizens Against Violence Against Women,369,Marion - Concerned Citizens Against Violence Against Women - Turning Point - ES - DV
Alternative Paths,1238,Medina - Alternative Paths - Hotel/Motel - ES Overflow,1241,166,Alternative Paths,370,Medina - Alternative Paths - Hotel/Motel - ES Overflow
Operation HOMES,1240,Medina - Operation HOMES - ES,1243,167,Operation HOMES,371,Medina - Operation HOMES - ES
St. Patrick's Soup Kitchen,1245,Miami - St. Patrick's Soup Kitchen - ES,1247,168,St. Patrick's Soup Kitchen,372,Miami - St. Patrick's Soup Kitchen - ES
Morgan County United Ministries,1248,Morgan - United Ministries - ES Overflow,1249,169,Morgan County United Ministries,373,Morgan - United Ministries - ES Overflow
Allwell Behavioral Health Services,1250,Muskingum - Allwell Behavioral Health Services - ES,1252,170,Allwell Behavioral Health Services,374,Muskingum - Allwell Behavioral Health Services - ES
Transitions Domestic Violence,1251,Muskingum - Transitions DV - ES - DV,1253,171,Transitions Domestic Violence,375,Muskingum - Transitions DV - ES - DV
Pike County Partnership Against DV,1258,Pike - Partnership Against DV - ES - DV,1259,173,Pike County Partnership Against DV,379,Pike - Partnership Against DV - ES - DV
YWCA of Greater Dayton,1266,Preble - YWCA of Greater Dayton - ES - DV,1267,174,YWCA of Greater Dayton,383,Preble - YWCA of Greater Dayton - ES - DV
Domestic Violence Southern Ohio Shelter,1270,Scioto - Domestic Violence Southern Ohio Shelter - ES - DV,1271,176,Domestic Violence Southern Ohio Shelter,385,Scioto - Domestic Violence Southern Ohio Shelter - ES - DV
First Step,1276,Seneca - First Step Center - ES - DV,1277,177,First Step,386,Seneca - First Step Center - ES - DV
"EVE, Incorporated",1287,Washington - EVE - Domestic Violence Shelter - ES - DV,1288,179,"EVE, Incorporated",390,Washington - EVE - Domestic Violence Shelter - ES - DV
"EVE, Incorporated",1287,Washington - EVE - Domestic Violence Shelter - TH - DV,1636,179,"EVE, Incorporated",469,Washington - EVE - Domestic Violence Shelter - TH - DV
Grace Community Church,1295,Williams - Grace Community Church - The Sanctuary - ES,1296,180,Grace Community Church,392,Williams - Grace Community Church - The Sanctuary - ES
Cocoon,1297,Wood - Cocoon Shelter - ES - DV,1298,181,Cocoon,393,Wood - Cocoon Shelter - ES - DV
Wood Salvation Army,1299,Wood - Salvation Army - Wood County Emergency Lodging - ES Overflow,1300,182,Wood Salvation Army,394,Wood - Salvation Army - Wood County Emergency Lodging - ES Overflow
"Lifeline, Inc.",1324,"Lake - Lifeline, Inc. - HCRP RRH",1325,183,"Lifeline, Inc.",405,"Lake - Lifeline, Inc. - HCRP RRH"
"Lifeline, Inc.",1324,"Lake - Lifeline, Inc. - HCRP HP",1358,183,"Lifeline, Inc.",426,"Lake - Lifeline, Inc. - HCRP HP"
"Lifeline, Inc.",1324,"zzLake - Lifeline, Inc. - Targeted RRH",1892,183,"Lifeline, Inc.",587,"zzLake - Lifeline, Inc. - Targeted RRH"
"Lifeline, Inc.",1324,"Lake - Lifeline, Inc. - OHFA ERA - not homeless dedicated",2156,183,"Lifeline, Inc.",775,"Lake - Lifeline, Inc. - OHFA ERA - not homeless dedicated"
"Lifeline, Inc.",1324,"Lake - Lifeline, Inc. - TANF RRH",2282,183,"Lifeline, Inc.",898,"Lake - Lifeline, Inc. - TANF RRH"
First Putnam Homeless Shelter,1345,Muskingum - First Putnam Homeless Shelter - ES,1407,185,First Putnam Homeless Shelter,442,Muskingum - First Putnam Homeless Shelter - ES
Catholic Charities Corporation,1369,Lorain - Catholic Charities Corporation - St. Elizabeth Center - ES,1784,187,Catholic Charities Corporation,530,Lorain - Catholic Charities Corporation - St. Elizabeth Center - ES
Catholic Charities Corporation,1369,Lorain - Catholic Charities Corporation - St. Elizabeth Center - ES Overflow,2174,187,Catholic Charities Corporation,793,Lorain - Catholic Charities Corporation - St. Elizabeth Center - ES Overflow
Shelby Local Churches,1402,Shelby - Local Churches - ES Overflow,1403,191,Shelby Local Churches,441,Shelby - Local Churches - ES Overflow
Washington - Morgan Counties CAP,141,Washington - Morgan Counties CAP - SSVF RRH,1090,37,Washington - Morgan Counties CAP,314,Washington - Morgan Counties CAP - SSVF RRH
Washington - Morgan Counties CAP,141,Washington - Morgan Counties CAP - SSVF HP,1260,37,Washington - Morgan Counties CAP,380,Washington - Morgan Counties CAP - SSVF HP
Washington - Morgan Counties CAP,141,Washington - Washington Morgan CAP - OHFA ERA - not homeless dedicated,2128,37,Washington - Morgan Counties CAP,748,Washington - Washington Morgan CAP - OHFA ERA - not homeless dedicated
Washington - Morgan Counties CAP,141,Washington - Washington Morgan CAP - ES Overflow,2129,37,Washington - Morgan Counties CAP,749,Washington - Washington Morgan CAP - ES Overflow
Washington - Morgan Counties CAP,141,Washington - Washington Morgan CAP - Targeted RRH,2182,37,Washington - Morgan Counties CAP,801,Washington - Washington Morgan CAP - Targeted RRH
Washington - Morgan Counties CAP,141,Washington - Washington Morgan CAP - TANF HP,2219,37,Washington - Morgan Counties CAP,836,Washington - Washington Morgan CAP - TANF HP
Washington - Morgan Counties CAP,141,Washington - Washington Morgan CAP - TANF RRH,2220,37,Washington - Morgan Counties CAP,837,Washington - Washington Morgan CAP - TANF RRH
Washington - Morgan Counties CAP,141,Washington - Washington Morgan CAP - ESG-CV HP,2228,37,Washington - Morgan Counties CAP,845,Washington - Washington Morgan CAP - ESG-CV HP
Washington - Morgan Counties CAP,141,Washington - Washington Morgan CAP - ESG-CV RRH,2229,37,Washington - Morgan Counties CAP,846,Washington - Washington Morgan CAP - ESG-CV RRH
Washington - Morgan Counties CAP,141,Washington - Washington Morgan CAP - HCRP RRH,901,37,Washington - Morgan Counties CAP,205,Washington - Washington Morgan CAP - HCRP RRH
Washington - Morgan Counties CAP,141,Washington - Washington Morgan CAP - HCRP HP,981,37,Washington - Morgan Counties CAP,268,Washington - Washington Morgan CAP - HCRP HP
Talbert House,1468,Butler - Talbert House - SSVF RRH,1863,194,Talbert House,560,Butler - Talbert House - SSVF RRH
Talbert House,1468,Butler - Talbert House - SSVF HP,1864,194,Talbert House,561,Butler - Talbert House - SSVF HP
Mercy Regional Medical Center,1562,zzLorain - Mercy Health - Lorain Hospital - ES Overflow,1908,197,Mercy Regional Medical Center,596,zzLorain - Mercy Health - Lorain Hospital - ES Overflow
Mercer - Our Home Family Resource Center,1625,Mercer - Mercer County Family Crisis Network - ES -DV,1626,200,Mercer - Our Home Family Resource Center,465,Mercer - Mercer County Family Crisis Network - ES -DV
St. Vincent De Paul,1627,Greene - St. Vincent de Paul - SSVF RRH,1628,201,St. Vincent De Paul,468,Greene - St. Vincent de Paul - SSVF RRH
St. Vincent De Paul,1627,Greene - St. Vincent de Paul - SSVF HP,1848,201,St. Vincent De Paul,548,Greene - St. Vincent de Paul - SSVF HP
Family Resource Center,1663,zzButler - Family Resource Center - HCRP HP,1664,203,Family Resource Center,474,zzButler - Family Resource Center - HCRP HP
Family Resource Center,1663,zzButler - Family Resource Center - HCRP RRH,1668,203,Family Resource Center,478,zzButler - Family Resource Center - HCRP RRH
Family Resource Center,1663,Butler - Family Resource Center - ES Overflow,1919,203,Family Resource Center,601,Butler - Family Resource Center - ES Overflow
Non-HMIS Shelter Clients,1680,Non-HMIS Shelter Clients,1680,204,Non-HMIS Shelter Clients,488,Non-HMIS Shelter Clients
zzAthens - John Clem Recovery House,1686,zzAthens - Athens Clem House - ES,780,207,zzAthens - John Clem Recovery House,175,zzAthens - Athens Clem House - ES
FrontLine Service,1687,Lake - FrontLine Service - SSVF RRH,1689,208,FrontLine Service,490,Lake - FrontLine Service - SSVF RRH
FrontLine Service,1687,Lake - FrontLine Service - SSVF HP,1690,208,FrontLine Service,491,Lake - FrontLine Service - SSVF HP
FrontLine Service,1687,Ashtabula - FrontLine Service - SSVF HP,1924,208,FrontLine Service,605,Ashtabula - FrontLine Service - SSVF HP
FrontLine Service,1687,Ashtabula - FrontLine Service - SSVF RRH,1925,208,FrontLine Service,606,Ashtabula - FrontLine Service - SSVF RRH
"Medina County Alcohol, Drug Addiction and Mental Health Board",1691,Medina - Medina County ADAMH Board - Northland II - PSH,724,209,"Medina County Alcohol, Drug Addiction and Mental Health Board",145,Medina - Medina County ADAMH Board - Northland II - PSH
"Medina County Alcohol, Drug Addiction and Mental Health Board",1691,zzMedina - Medina ADAMH Board Funding - PSH - Voucher,854,209,"Medina County Alcohol, Drug Addiction and Mental Health Board",177,zzMedina - Medina ADAMH Board Funding - PSH - Voucher
Lorain County Board of Mental Health,1694,Lorain - Lorain County Board of Mental Health - Lorain Shelter Plus Care - PSH,137,210,Lorain County Board of Mental Health,40,Lorain - Lorain County Board of Mental Health - Lorain Shelter Plus Care - PSH
Meigs - Meigs County Veterans Outreach,1717,zzMeigs - Meigs County Veterans Outreach - ES Overflow,1718,214,Meigs - Meigs County Veterans Outreach,500,zzMeigs - Meigs County Veterans Outreach - ES Overflow
New Horizons Mental Health,1719,Fairfield - New Horizons Mental Health - ES Overflow,1720,215,New Horizons Mental Health,501,Fairfield - New Horizons Mental Health - ES Overflow
Butler - Family Promise,1721,Butler - Family Promise - ES,1722,216,Butler - Family Promise,502,Butler - Family Promise - ES
Butler - Family Promise,1721,Butler - Family Promise - ES Overflow,2280,216,Butler - Family Promise,896,Butler - Family Promise - ES Overflow
Butler - Family Promise,1721,Butler - Family Promise - TANF HP,2303,216,Butler - Family Promise,919,Butler - Family Promise - TANF HP
Butler - Family Promise,1721,Butler - Family Promise - TANF RRH,2304,216,Butler - Family Promise,920,Butler - Family Promise - TANF RRH
Jackson Homeless Committee,1728,Jackson - Jackson Homeless Committee - ES,1729,219,Jackson Homeless Committee,503,Jackson - Jackson Homeless Committee - ES
Pickaway - Haven House,1732,Pickaway - Haven House Supportive Housing Project - TH - DV,126,220,Pickaway - Haven House,34,Pickaway - Haven House Supportive Housing Project - TH - DV
Jobs and Family Services,1734,Geauga - Jobs and Family Services - ES Overflow,1735,221,Jobs and Family Services,507,Geauga - Jobs and Family Services - ES Overflow
Jobs and Family Services,1734,zzHardin - Jobs and Family Services - ES Overflow,1911,221,Jobs and Family Services,597,zzHardin - Jobs and Family Services - ES Overflow
Warren Family Mission,1736,Trumbull - Warren Family Mission - ES,1418,222,Warren Family Mission,446,Trumbull - Warren Family Mission - ES
Warren Family Mission,1736,Trumbull - Warren Family Mission - Hannah House - TH,1737,222,Warren Family Mission,508,Trumbull - Warren Family Mission - Hannah House - TH
YWCA Mahoning Valley,1738,Trumbull - YWCA of Mahoning Valley - Services Only,1739,223,YWCA Mahoning Valley,509,Trumbull - YWCA of Mahoning Valley - Services Only
YWCA Mahoning Valley,1738,Trumbull - YWCA of Mahoning Valley - PSH,1773,223,YWCA Mahoning Valley,524,Trumbull - YWCA of Mahoning Valley - PSH
YWCA Mahoning Valley,1738,Trumbull - YWCA of Mahoning Valley - Wings - PSH,2091,223,YWCA Mahoning Valley,733,Trumbull - YWCA of Mahoning Valley - Wings - PSH
"Liberty Center of Sandusky County, Inc.",174,Sandusky - Liberty Center of Sandusky County - Liberty Center - ES,175,38,"Liberty Center of Sandusky County, Inc.",54,Sandusky - Liberty Center of Sandusky County - Liberty Center - ES
"Liberty Center of Sandusky County, Inc.",174,Sandusky - Liberty Center of Sandusky County - Liberty Center - ES Overflow,2175,38,"Liberty Center of Sandusky County, Inc.",794,Sandusky - Liberty Center of Sandusky County - Liberty Center - ES Overflow
Crisis Care Domestic Violence Shelter,1745,Van Wert - Crisis Care Domestic Violence Shelter - DV - ES,1746,224,Crisis Care Domestic Violence Shelter,511,Van Wert - Crisis Care Domestic Violence Shelter - DV - ES
Raven's Care,1747,Defiance - Raven's Care - Hotel/motel overflow vouchers - ES,1748,225,Raven's Care,512,Defiance - Raven's Care - Hotel/motel overflow vouchers - ES
Butler - Local Churches,1749,Butler - Local Churches - hotel/motel overflow - ES,1750,226,Butler - Local Churches,513,Butler - Local Churches - hotel/motel overflow - ES
TCN Behavioral Health Services,1754,Logan - Consolidated Care - Soteria House - ES DV,1755,228,TCN Behavioral Health Services,515,Logan - Consolidated Care - Soteria House - ES DV
HARCATUS Tri-County Community Action Organization,1756,zzTuscarawas - HARCATUS Tri-County CAO - HCRP RRH,880,229,HARCATUS Tri-County Community Action Organization,193,zzTuscarawas - HARCATUS Tri-County CAO - HCRP RRH
HARCATUS Tri-County Community Action Organization,1756,zzTuscarawas - HARCATUS Tri-County CAO - HCRP HP,881,229,HARCATUS Tri-County Community Action Organization,194,zzTuscarawas - HARCATUS Tri-County CAO - HCRP HP
Scioto Christian Ministries,176,Scioto - Scioto Christian Ministries - ES,199,39,Scioto Christian Ministries,59,Scioto - Scioto Christian Ministries - ES
Scioto Christian Ministries,176,Scioto - Scioto Christian Ministries - ES Overflow,2131,39,Scioto Christian Ministries,750,Scioto - Scioto Christian Ministries - ES Overflow
Scioto Christian Ministries,176,Scioto - Scioto Christian Ministries - HCRP RRH,988,39,Scioto Christian Ministries,274,Scioto - Scioto Christian Ministries - HCRP RRH
Scioto Christian Ministries,176,Scioto - Scioto Christian Ministries - HCRP HP,989,39,Scioto Christian Ministries,276,Scioto - Scioto Christian Ministries - HCRP HP
"OneEighty, Inc.",1762,Wayne - One Eighty - Julia's Place - ES - DV,1293,231,"OneEighty, Inc.",391,Wayne - One Eighty - Julia's Place - ES - DV
"OneEighty, Inc.",1762,Ashland - One Eighty - PSH Plus Care - PSH,1566,231,"OneEighty, Inc.",452,Ashland - One Eighty - PSH Plus Care - PSH
"OneEighty, Inc.",1762,Wayne - One Eighty - PSH Plus Care - PSH,1579,231,"OneEighty, Inc.",458,Wayne - One Eighty - PSH Plus Care - PSH
"OneEighty, Inc.",1762,zzWayne - One Eighty - Targeted RRH,1889,231,"OneEighty, Inc.",584,zzWayne - One Eighty - Targeted RRH
"OneEighty, Inc.",1762,Wayne - One Eighty - TANF HP,2169,231,"OneEighty, Inc.",788,Wayne - One Eighty - TANF HP
"OneEighty, Inc.",1762,Wayne - One Eighty - TANF RRH,2170,231,"OneEighty, Inc.",789,Wayne - One Eighty - TANF RRH
"OneEighty, Inc.",1762,Wayne - One Eighty - ESG-CV RRH,2203,231,"OneEighty, Inc.",821,Wayne - One Eighty - ESG-CV RRH
"OneEighty, Inc.",1762,Wayne - One Eighty - HCRP RRH,872,231,"OneEighty, Inc.",187,Wayne - One Eighty - HCRP RRH
"OneEighty, Inc.",1762,Wayne - One Eighty - HCRP HP,965,231,"OneEighty, Inc.",255,Wayne - One Eighty - HCRP HP
Crystal Tower Women's and Children's Shelter,1767,Erie - Crystal Tower Women's and Children's Shelter - DV - ES,1768,232,Crystal Tower Women's and Children's Shelter,521,Erie - Crystal Tower Women's and Children's Shelter - DV - ES
Greater Cincinnati Behavioral Health Services,177,Clermont - GCBHS - PATH Street Outreach,1771,40,Greater Cincinnati Behavioral Health Services,522,Clermont - GCBHS - PATH Street Outreach
Greater Cincinnati Behavioral Health Services,177,Clermont - GCBHS - PATH Services Only,1772,40,Greater Cincinnati Behavioral Health Services,523,Clermont - GCBHS - PATH Services Only
Greater Cincinnati Behavioral Health Services,177,Clermont - Lifepoint Solutions - Youth Targeted RRH,1922,40,Greater Cincinnati Behavioral Health Services,604,Clermont - Lifepoint Solutions - Youth Targeted RRH
Greater Cincinnati Behavioral Health Services,177,Clermont - GCBH - ESG-CV - HP,2423,40,Greater Cincinnati Behavioral Health Services,986,Clermont - GCBH - ESG-CV - HP
Greater Cincinnati Behavioral Health Services,177,Clermont - GCBH - ESG-CV - RRH,2424,40,Greater Cincinnati Behavioral Health Services,987,Clermont - GCBH - ESG-CV - RRH
Greater Cincinnati Behavioral Health Services,177,Clermont - Lifepoint Solutions - OHTF - PSH,426,40,Greater Cincinnati Behavioral Health Services,108,Clermont - Lifepoint Solutions - OHTF - PSH
Greater Cincinnati Behavioral Health Services,177,zzClermont - Clermont MHA - Shelter Plus Care Program - PSH,459,40,Greater Cincinnati Behavioral Health Services,112,zzClermont - Clermont MHA - Shelter Plus Care Program - PSH
Greater Cincinnati Behavioral Health Services,177,Clermont - Lifepoint Solutions - HCRP RRH,923,40,Greater Cincinnati Behavioral Health Services,224,Clermont - Lifepoint Solutions - HCRP RRH
Greater Cincinnati Behavioral Health Services,177,Clermont - Lifepoint Solutions - HCRP HP,924,40,Greater Cincinnati Behavioral Health Services,226,Clermont - Lifepoint Solutions - HCRP HP
Red Cross,1797,zzLawrence - Red Cross - ES Overflow,1798,236,Red Cross,536,zzLawrence - Red Cross - ES Overflow
Bridges Community Action Partnership,1799,Madison - Bridges CAP - Homeless Assistance Grant - ES,1026,237,Bridges Community Action Partnership,307,Madison - Bridges CAP - Homeless Assistance Grant - ES
Bridges Community Action Partnership,1799,Shelby - Bridges CAP - Shelby Positive Alternatives to Homelessness - ES,1800,237,Bridges Community Action Partnership,537,Shelby - Bridges CAP - Shelby Positive Alternatives to Homelessness - ES
Bridges Community Action Partnership,1799,Shelby - Bridges CAP - HCRP RRH,1853,237,Bridges Community Action Partnership,551,Shelby - Bridges CAP - HCRP RRH
Bridges Community Action Partnership,1799,Shelby - Bridges CAP - OHFA ERA - not homeless dedicated,2158,237,Bridges Community Action Partnership,777,Shelby - Bridges CAP - OHFA ERA - not homeless dedicated
Bridges Community Action Partnership,1799,Shelby - Bridges CAP - ES Overflow,2168,237,Bridges Community Action Partnership,787,Shelby - Bridges CAP - ES Overflow
Bridges Community Action Partnership,1799,Madison - Bridges CAP - ES Overflow,2185,237,Bridges Community Action Partnership,804,Madison - Bridges CAP - ES Overflow
Bridges Community Action Partnership,1799,Shelby - Bridges CAP - ESG-CV - RRH,2448,237,Bridges Community Action Partnership,1004,Shelby - Bridges CAP - ESG-CV - RRH
Bridges Community Action Partnership,1799,Madison - Bridges CAP - HCRP HP,947,237,Bridges Community Action Partnership,237,Madison - Bridges CAP - HCRP HP
The Salvation Army of Belmont County,180,Belmont - Salvation Army of Belmont County - Family Homeless Shelter - ES,181,41,The Salvation Army of Belmont County,55,Belmont - Salvation Army of Belmont County - Family Homeless Shelter - ES
"Clinton County Services for the Homeless, Inc.",182,Clinton - Clinton County Services - Clinton Co Homeless Shelter - ES,190,42,"Clinton County Services for the Homeless, Inc.",57,Clinton - Clinton County Services - Clinton Co Homeless Shelter - ES
"Clinton County Services for the Homeless, Inc.",182,Clinton - Clinton County Services - Clinton Co Homeless Shelter - ES Overflow,2135,42,"Clinton County Services for the Homeless, Inc.",754,Clinton - Clinton County Services - Clinton Co Homeless Shelter - ES Overflow
"Clinton County Services for the Homeless, Inc.",182,Clinton - Clinton County Services for the Homeless - HCRP RRH,954,42,"Clinton County Services for the Homeless, Inc.",244,Clinton - Clinton County Services for the Homeless - HCRP RRH
"Clinton County Services for the Homeless, Inc.",182,Clinton - Clinton County Services for the Homeless - HCRP HP,955,42,"Clinton County Services for the Homeless, Inc.",245,Clinton - Clinton County Services for the Homeless - HCRP HP
Paulding - House of Love Church,1823,Paulding - House of Love Church - ES Overflow,1824,242,Paulding - House of Love Church,542,Paulding - House of Love Church - ES Overflow
God's Church Without Walls,1827,Pike - God's Church Without Walls - ES Overflow,1828,244,God's Church Without Walls,543,Pike - God's Church Without Walls - ES Overflow
"Lima's Samaritan House, Inc.",184,Allen - Lima Samaritan House - ES,191,43,"Lima's Samaritan House, Inc.",58,Allen - Lima Samaritan House - ES
Personal and Family Counseling Services,1840,Carroll - Personal and Family Counseling Services - Harbor Point - DV,1841,245,Personal and Family Counseling Services,545,Carroll - Personal and Family Counseling Services - Harbor Point - DV
"Marion Shelter Program, Inc.",186,zzMarion - Marion Shelter Program - Men's Facility - ES,203,44,"Marion Shelter Program, Inc.",61,zzMarion - Marion Shelter Program - Men's Facility - ES
"Marion Shelter Program, Inc.",186,zzMarion - Marion Shelter Program - Men's Transitional Housing - TH,204,44,"Marion Shelter Program, Inc.",62,zzMarion - Marion Shelter Program - Men's Transitional Housing - TH
"Marion Shelter Program, Inc.",186,Marion - Marion Shelter Program - Mens Womens and Family Shelter - ES,395,44,"Marion Shelter Program, Inc.",99,Marion - Marion Shelter Program - Mens Womens and Family Shelter - ES
Licking - The Salvation Army,187,Licking - Salvation Army Licking County - ES,188,45,Licking - The Salvation Army,56,Licking - Salvation Army Licking County - ES
Hope House of Pickaway County,1896,Pickaway - Hope House - ES,1897,248,Hope House of Pickaway County,589,Pickaway - Hope House - ES
Hebron Ministries,1915,Defiance - Hebron Ministries - ES Overflow,1916,250,Hebron Ministries,598,Defiance - Hebron Ministries - ES Overflow
Hebron Ministries,1915,Defiance - Hebron Ministries - ES,2276,250,Hebron Ministries,892,Defiance - Hebron Ministries - ES
The Salvation Army of Zanesville,194,Muskingum - Salvation Army of Zanesville - ES,201,46,The Salvation Army of Zanesville,60,Muskingum - Salvation Army of Zanesville - ES
The Salvation Army of Zanesville,194,Muskingum - Salvation Army of Zanesville - ES Overflow,2157,46,The Salvation Army of Zanesville,776,Muskingum - Salvation Army of Zanesville - ES Overflow
The Salvation Army of Zanesville,194,Muskingum - Salvation Army of Zanesville - Targeted RRH,2183,46,The Salvation Army of Zanesville,802,Muskingum - Salvation Army of Zanesville - Targeted RRH
The Salvation Army of Zanesville,194,Muskingum - Salvation Army of Zanesville - TANF RRH,2287,46,The Salvation Army of Zanesville,903,Muskingum - Salvation Army of Zanesville - TANF RRH
The Salvation Army of Zanesville,194,Muskingum - Salvation Army of Zanesville - HCRP RRH,891,46,The Salvation Army of Zanesville,199,Muskingum - Salvation Army of Zanesville - HCRP RRH
The Salvation Army of Zanesville,194,Muskingum - Salvation Army of Zanesville - HCRP HP,892,46,The Salvation Army of Zanesville,200,Muskingum - Salvation Army of Zanesville - HCRP HP
"zzSerenity House, Inc.",195,zzGallia - Serenity House - ES - DV,205,47,"zzSerenity House, Inc.",63,zzGallia - Serenity House - ES - DV
"Extended Housing, Inc.",196,"Lake - Extended Housing, Inc. - PATH Street Outreach",1364,48,"Extended Housing, Inc.",430,"Lake - Extended Housing, Inc. - PATH Street Outreach"
"Extended Housing, Inc.",196,"Lake - Extended Housing, Inc. - PATH Services Only",1365,48,"Extended Housing, Inc.",433,"Lake - Extended Housing, Inc. - PATH Services Only"
"Extended Housing, Inc.",196,Lake - Extended Housing PATH Homeless Outreach - AP,2305,48,"Extended Housing, Inc.",921,Lake - Extended Housing PATH Homeless Outreach - AP
"Ecumenical Shelter Network of Lake County, Inc.",198,Lake - Ecumenical Shelter Network - Senior Hope House - TH,1928,49,"Ecumenical Shelter Network of Lake County, Inc.",607,Lake - Ecumenical Shelter Network - Senior Hope House - TH
"Ecumenical Shelter Network of Lake County, Inc.",198,Lake - Ecumenical Shelter Network - Project Hope for the Homeless - ES,209,49,"Ecumenical Shelter Network of Lake County, Inc.",65,Lake - Ecumenical Shelter Network - Project Hope for the Homeless - ES
"Ecumenical Shelter Network of Lake County, Inc.",198,Lake - Ecumenical Shelter Network - Project Hope for the Homeless - ES Overflow,2147,49,"Ecumenical Shelter Network of Lake County, Inc.",766,Lake - Ecumenical Shelter Network - Project Hope for the Homeless - ES Overflow
Highland County CAO,2048,Highland - CAC of Fayette County - HCRP RRH,971,251,Highland County CAO,261,Highland - CAC of Fayette County - HCRP RRH
Kno-Ho-Co-Ashland Community Action Commission,206,Knox - Knohoco Ashland CAC - HCRP RRH,1000,50,Kno-Ho-Co-Ashland Community Action Commission,286,Knox - Knohoco Ashland CAC - HCRP RRH
Kno-Ho-Co-Ashland Community Action Commission,206,Coshocton - Knohoco Ashland CAC - Region 9 RRH,2070,50,Kno-Ho-Co-Ashland Community Action Commission,720,Coshocton - Knohoco Ashland CAC - Region 9 RRH
Kno-Ho-Co-Ashland Community Action Commission,206,Coshocton - Knohoco Ashland CAC - Targeted RRH,2117,50,Kno-Ho-Co-Ashland Community Action Commission,739,Coshocton - Knohoco Ashland CAC - Targeted RRH
Kno-Ho-Co-Ashland Community Action Commission,206,Holmes - Knohoco Ashland CAC - Targeted RRH,2118,50,Kno-Ho-Co-Ashland Community Action Commission,740,Holmes - Knohoco Ashland CAC - Targeted RRH
Kno-Ho-Co-Ashland Community Action Commission,206,Knox - Knohoco Ashland CAC - Targeted RRH,2119,50,Kno-Ho-Co-Ashland Community Action Commission,741,Knox - Knohoco Ashland CAC - Targeted RRH
Kno-Ho-Co-Ashland Community Action Commission,206,Coshocton - KnoHoCo Ashland CAC - ES Overflow,2155,50,Kno-Ho-Co-Ashland Community Action Commission,774,Coshocton - KnoHoCo Ashland CAC - ES Overflow
Kno-Ho-Co-Ashland Community Action Commission,206,Knox - Knohoco Ashland CAC - TANF RRH,2293,50,Kno-Ho-Co-Ashland Community Action Commission,909,Knox - Knohoco Ashland CAC - TANF RRH
Kno-Ho-Co-Ashland Community Action Commission,206,Holmes - Knohoco Ashland CAC - TANF HP,2295,50,Kno-Ho-Co-Ashland Community Action Commission,911,Holmes - Knohoco Ashland CAC - TANF HP
